A15   #Sony Pictures Entertainment
A16   #TV Tokyo
A717  #TV Tokyo Music
A17   #Aniplex
A23   #Bandai Visual
A31   #Geneon Universal Entertainment
A33   #WOWOW
A42   #GDH
A55   #TV Asahi
A58   #Square Enix
A62   #Shogakukan Productions
A76   #Yomiuri Telecasting Corporation
A92   #Starchild Records
A97   #ADV Films
A100  #TV Osaka
A102  #FUNimation Entertainment
A104  #Lantis
A108  #Media Factory
A111  #NHK
A113  #Kadokawa Shoten
A119  #Viz Media
A123  #Victor Entertainment
A143  #Mainichi Broadcasting
A144  #Pony Canyon
A145  #TBS
A146  #CBC
A158  #Kids Station
A159  #Kodansha
A166  #Movic
A169  #Fuji TV
A205  #Nihon Ad Systems
A215  #Nelvana
A217  #The Right Stuf International
A224  #Toshiba EMI
A233  #Bandai Entertainment
A236  #YTV
A240  #Capcom
A245  #Toho Company
A250  #Media Blasters
A252  #4Kids Entertainment
A262  #Kadokawa Pictures USA
A270  #NuTech Digital
A277  #Anime Midstream
A284  #Central Park Media
A296  #Critical Mass
A310  #AnimEigo
A311  #Enoki Films
A317  #NHK Enterprises
A321  #Kitty Media
A323  #Nippon Columbia
A358  #Telescreen BV
A359  #Sogo Vision
A372  #NIS America Inc.
A376  #Sentai Filmworks
A382  #Tokuma Shoten
A392  #Enterbrain
A410  #Adult Source Media
A411  #KBS
A415  #Warner Bros.
A417  #Walt Disney Studios
A460  #The Klock Worx
A467  #Discotek
A484  #TOKYOPOP
A488  #Anchor Bay Films
A490  #Maiden Japan
A493  #Aniplex of America
A499  #The Pokemon Company International
A501  #Miramax Films
A505  #Nintendo of America
A509  #Fuji Video
A573  #JapanAnime
A595  #NYAV Post
A757  #Sony Music Entertainment
A769  #Fuji Pacific Music Publishing
