A1     #cowboy bebop
A6     #trigun
A16    #honey and clover
A19    #monster
A24    #school rumble
A30    #neon genesis evangelion
A43    #ghost in the shell (movie)
A64    #rozen maiden
A66    #azumanga daioh
A71    #full metal panic
A97    #last exile
A160   #now and then  here and there
A202   #wolfs rain
A205   #samurai champloo
A227   #flcl
A232   #cardcaptor sakura
A323   #paranoia agent
A329   #planetes
A339   #serial experiments lain
A387   #haibane renmei
A437   #perfect blue
A457   #mushishi
A477   #aria the animation
A486   #kino no tabi
A523   #my neighbor totoro
A567   #the big o
A578   #grave of the fireflies
A658   #akagi
A790   #ergo proxy
A820   #legend of galactic heroes
A849   #haruhi
A889   #black lagoon
A934   #higurashi
A1210  #welcome to the nhk
A1535  #death note
A1575  #code geass
A1690  #bokurano
A1698  #nodame cantabile
A2001  #tengen toppa gurren lagann
A2104  #seto no hanayome
A2164  #dennou coil
A2167  #clannad
A2236  #the girl who leapt through time
A2476  #school days
A3002  #kaiji
A3702  #detroit metal city
A5114  #fullmetal alchemist brotherhood
A7785  #tatami galaxy aka yojouhan shinwa taikei
A9253  #steins;gate
A9756  #mahou shoujo madoka magika

M1     #monster
M2     #berserk
M3     #20th century boys
M4     #yokohama kaidashi kikou
M7     #hajime no ippo
M21    #death note
M23    #ranma 1/2
M25    #fullmetal alchemist
M85    #azumanga daioh
M104   #yotsubato
M124   #aqua
M142   #battle royale
M267   #hellsing
M336   #great teacher onizuka
M339   #cromartie high school
M348   #genshiken
M401   #parasyte
M418   #mushishi
M436   #uzumaki
M463   #welcome to the nhk
M564   #gantz
M583   #claymore
M584   #mirai nikki
M642   #vinland saga
M651   #nausicaa
M662   #3x3 eyes
M670   #bokurano
M674   #majin tantei nogami neuro
M731   #eden its an endless world
M735   #black lagoon
M745   #pluto
M768   #battle angel alita
M1153  #narutaru
M1189  #living game
M1218  #akagi
M1534  #zetman
M1541  #confession
M1600  #black jack
M1649  #liar game
M1735  #detroit metal city
M1926  #mysterious girlfriend x
M2436  #hotel
M2924  #historie
M3468  #usagi drop
M3572  #kaiji
M4632  #oyasumi punpun
M5293  #doubt
M8967  #onani master kurosawa
M10552 #hoshi no samidare
M14943 #loop
